institution_id,cluster_label_zero_based,cluster_id
INST_001,1,2
INST_002,0,1
INST_003,0,1
INST_004,0,1
INST_005,0,1
INST_006,0,1
INST_007,0,1
INST_008,0,1
INST_009,0,1
INST_010,0,1
INST_011,0,1
INST_012,0,1
INST_013,0,1
INST_014,0,1
INST_015,0,1
INST_016,0,1
INST_017,0,1
INST_018,0,1
INST_019,0,1
INST_020,0,1
INST_021,0,1
INST_022,1,2
INST_023,0,1
INST_024,0,1
INST_025,0,1
INST_026,0,1
INST_027,1,2
INST_028,0,1
INST_029,0,1
INST_030,0,1
INST_031,0,1
INST_032,0,1
INST_033,0,1
INST_034,1,2
INST_035,0,1
INST_036,1,2
INST_037,1,2
INST_038,0,1
INST_039,1,2
INST_040,0,1
INST_041,1,2
INST_042,0,1
INST_043,0,1
INST_044,0,1
INST_045,0,1
INST_046,0,1
INST_047,0,1
INST_048,0,1
INST_049,0,1
INST_050,0,1
INST_051,1,2
INST_052,0,1
INST_053,0,1
INST_054,1,2
INST_055,0,1
INST_056,0,1
INST_057,0,1
INST_058,0,1
INST_059,0,1
INST_060,0,1
INST_061,0,1
INST_062,0,1
INST_063,0,1
INST_064,0,1
INST_065,1,2
INST_066,0,1
INST_067,0,1
INST_068,0,1
INST_069,0,1
INST_070,0,1
INST_071,1,2
INST_072,0,1
INST_073,0,1
INST_074,1,2
INST_075,0,1
INST_076,0,1
INST_077,0,1
INST_078,0,1
INST_079,0,1
INST_080,0,1
INST_081,0,1
