stability_rank,candidate_id,successful_iterations,ari_mean,ari_median,ari_std,ari_p025,ari_p975,mean_matched_jaccard_mean,mean_matched_jaccard_median,minimum_resample_cluster_size_median,minimum_resample_cluster_size_min,pca_components_median,pca_components_min,pca_components_max,clusterwise_jaccard_min_mean,representation,algorithm,k_requested,full_data_silhouette,full_data_davies_bouldin,full_data_calinski_harabasz,full_data_minimum_cluster_size,shortlist_reasons,n_samples,n_dimensions,observed_clusters,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,bic,aic,inertia,converged,eligible_min_cluster_size,resampling_min_cluster_ok,full_data_min_cluster_ok,selection_eligible
1,R1_PCA_85__HAC_WARD__K2,1000,0.991763934077196,1.0,0.0524691923664444,0.9053210792596784,1.0,0.9946587831845046,1.0,11.0,7,5.0,4,6,0.9915738094173516,R1_PCA_85,HAC_WARD,2,0.4108366444914675,0.7760107265875373,46.174845454458506,13,BEST_DAVIES_BOULDIN;BEST_SILHOUETTE,81,5,2,0.4108366444914675,0.7760107265875373,46.174845454458506,13,68,,,,True,True,True,True,True
2,R0_STANDARDIZED__HAC_WARD__K2,1000,0.9958781252196182,1.0,0.0310882755593179,0.9261606184048208,1.0,0.997246051355711,1.0,11.0,6,13.0,13,13,0.9955431085254616,R0_STANDARDIZED,HAC_WARD,2,0.3602740036312941,0.8888983077423682,37.34296216978151,13,BEST_CALINSKI_HARABASZ;BEST_DAVIES_BOULDIN;BEST_SILHOUETTE,81,13,2,0.3602740036312941,0.8888983077423682,37.34296216978151,13,68,,,,True,True,True,True,True
3,R1_PCA_85__KMEANS__K2,1000,0.8635464095616938,0.8620480557871598,0.0886913439321477,0.7247304362918447,1.0,0.9119743726061308,0.9097035040431268,14.0,7,5.0,4,6,0.861948744706446,R1_PCA_85,KMEANS,2,0.3822801393450685,0.8966314430369156,46.34151317488878,16,BEST_DAVIES_BOULDIN;BEST_SILHOUETTE,81,5,2,0.3822801393450685,0.8966314430369156,46.34151317488878,16,65,,,576.2224435885959,True,True,True,True,True
4,R0_STANDARDIZED__KMEANS__K2,1000,0.8502623790789715,0.8574499377757665,0.0952571997029184,0.6963456365257269,1.0,0.9039078610627092,0.9045584045584044,14.0,7,13.0,13,13,0.8499088971185333,R0_STANDARDIZED,KMEANS,2,0.3351919060650141,1.0227041459560755,37.44861198934348,16,BEST_CALINSKI_HARABASZ;BEST_DAVIES_BOULDIN;BEST_SILHOUETTE,81,13,2,0.3351919060650141,1.0227041459560755,37.44861198934348,16,65,,,714.3666084024485,True,True,True,True,True
5,R1_PCA_85__KMEANS__K5,1000,0.8577862667942068,0.8395227629886033,0.1147484500488013,0.6537501367602805,1.0,0.9121159268136404,0.903720462543992,10.0,6,5.0,4,6,0.8001298713875676,R1_PCA_85,KMEANS,5,0.3506743190835679,1.098480621174487,50.17402844683382,13,BEST_CALINSKI_HARABASZ,81,5,5,0.3506743190835679,1.098480621174487,50.17402844683382,13,20,,,251.1126231236437,True,True,True,True,True
6,R0_STANDARDIZED__GMM_DIAG__K2,1000,0.5668939372980857,0.7858376511226253,0.4130097381430892,-0.1063829787234042,1.0,0.7387741429064504,0.8573426573426574,14.0,8,13.0,13,13,0.6569069905971205,R0_STANDARDIZED,GMM_DIAG,2,0.3495289691928451,0.9325475305329852,37.40994185971451,14,BEST_CALINSKI_HARABASZ;BEST_DAVIES_BOULDIN;BEST_SILHOUETTE,81,13,2,0.3495289691928451,0.9325475305329852,37.40994185971451,14,67,2592.7481137001387,2465.8423085024992,,True,True,True,True,True
7,R1_PCA_85__HAC_WARD__K3,1000,0.7494783043713289,0.7559382110646351,0.1668033180283247,0.3644168996449499,1.0,0.8589938326503591,0.8613103778096605,10.0,4,5.0,4,6,0.7139869105295439,R1_PCA_85,HAC_WARD,3,0.3360816510079463,1.178930747935072,46.295653974702375,13,BEST_CALINSKI_HARABASZ,81,5,3,0.3360816510079463,1.178930747935072,46.295653974702375,13,46,,,,True,True,False,True,False
8,R1_PCA_85__GMM_DIAG__K5,1000,0.6261699726093869,0.614792146106939,0.1777339603411083,0.2848463253299103,0.9513111676494622,0.6455226220302288,0.61870337995338,5.0,1,5.0,4,6,0.3309367517581986,R1_PCA_85,GMM_DIAG,5,0.3382887227151773,0.9302826081555982,41.74177071338974,7,BEST_CALINSKI_HARABASZ;BEST_SILHOUETTE,81,5,5,0.3382887227151773,0.9302826081555982,41.74177071338974,7,39,1346.241876729941,1216.9416223776293,,True,True,False,True,False
9,R0_STANDARDIZED__GMM_DIAG__K6,1000,0.4593661347633628,0.4591171344889996,0.0861749621326229,0.2964381237040796,0.6372472710632989,0.5371386046069107,0.5458759600560604,6.0,1,13.0,13,13,0.2654245566257275,R0_STANDARDIZED,GMM_DIAG,6,0.2192115758159911,1.5598025760993923,22.81551768287774,6,BEST_BIC_WITHIN_REPRESENTATION,81,13,6,0.2192115758159911,1.5598025760993923,22.81551768287774,6,23,815.5018785072396,429.9955646049768,,True,True,False,True,False
10,R1_PCA_85__GMM_DIAG__K4,1000,0.3347344595722172,0.3256018551368713,0.1758963571245556,0.0700805297289535,0.7265169444245609,0.5448671366102706,0.5442574786324785,7.0,1,5.0,4,6,0.4191877182067738,R1_PCA_85,GMM_DIAG,4,0.237141860575631,1.159581764233071,22.203671602158813,6,BEST_BIC_WITHIN_REPRESENTATION,81,5,4,0.237141860575631,1.159581764233071,22.203671602158813,6,39,1324.0859966390544,1221.1246829881395,,True,True,False,True,False
