candidate_a,candidate_b,adjusted_rand_index,partition_equivalent_at_0_95
R1_PCA_85__HAC_WARD__K2,R0_STANDARDIZED__HAC_WARD__K2,1.0,True
R1_PCA_85__HAC_WARD__K2,R1_PCA_85__KMEANS__K2,0.8274964505442499,False
R1_PCA_85__HAC_WARD__K2,R0_STANDARDIZED__KMEANS__K2,0.8274964505442499,False
R1_PCA_85__HAC_WARD__K2,R1_PCA_85__KMEANS__K5,0.16759619748250412,False
R1_PCA_85__HAC_WARD__K2,R0_STANDARDIZED__GMM_DIAG__K2,0.9389384333562,False
R1_PCA_85__HAC_WARD__K2,R1_PCA_85__HAC_WARD__K3,0.4201877535776733,False
R1_PCA_85__HAC_WARD__K2,R1_PCA_85__GMM_DIAG__K5,0.2697280273512698,False
R1_PCA_85__HAC_WARD__K2,R0_STANDARDIZED__GMM_DIAG__K6,0.17394142122868564,False
R1_PCA_85__HAC_WARD__K2,R1_PCA_85__GMM_DIAG__K4,-0.050385469819375334,False
R1_PCA_85__HAC_WARD__K2,R1_PCA_85__GMM_DIAG__K2,-0.08227848101265822,False
R0_STANDARDIZED__HAC_WARD__K2,R1_PCA_85__KMEANS__K2,0.8274964505442499,False
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED__KMEANS__K2,0.8274964505442499,False
R0_STANDARDIZED__HAC_WARD__K2,R1_PCA_85__KMEANS__K5,0.16759619748250412,False
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED__GMM_DIAG__K2,0.9389384333562,False
R0_STANDARDIZED__HAC_WARD__K2,R1_PCA_85__HAC_WARD__K3,0.4201877535776733,False
R0_STANDARDIZED__HAC_WARD__K2,R1_PCA_85__GMM_DIAG__K5,0.2697280273512698,False
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED__GMM_DIAG__K6,0.17394142122868564,False
R0_STANDARDIZED__HAC_WARD__K2,R1_PCA_85__GMM_DIAG__K4,-0.050385469819375334,False
R0_STANDARDIZED__HAC_WARD__K2,R1_PCA_85__GMM_DIAG__K2,-0.08227848101265822,False
R1_PCA_85__KMEANS__K2,R0_STANDARDIZED__KMEANS__K2,1.0,True
R1_PCA_85__KMEANS__K2,R1_PCA_85__KMEANS__K5,0.1579872954282317,False
R1_PCA_85__KMEANS__K2,R0_STANDARDIZED__GMM_DIAG__K2,0.8851599935392401,False
R1_PCA_85__KMEANS__K2,R1_PCA_85__HAC_WARD__K3,0.40307705568005514,False
R1_PCA_85__KMEANS__K2,R1_PCA_85__GMM_DIAG__K5,0.21216165076582946,False
R1_PCA_85__KMEANS__K2,R0_STANDARDIZED__GMM_DIAG__K6,0.19598431924410714,False
R1_PCA_85__KMEANS__K2,R1_PCA_85__GMM_DIAG__K4,-0.02840731637765979,False
R1_PCA_85__KMEANS__K2,R1_PCA_85__GMM_DIAG__K2,-0.08066604995374653,False
R0_STANDARDIZED__KMEANS__K2,R1_PCA_85__KMEANS__K5,0.1579872954282317,False
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED__GMM_DIAG__K2,0.8851599935392401,False
R0_STANDARDIZED__KMEANS__K2,R1_PCA_85__HAC_WARD__K3,0.40307705568005514,False
R0_STANDARDIZED__KMEANS__K2,R1_PCA_85__GMM_DIAG__K5,0.21216165076582946,False
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED__GMM_DIAG__K6,0.19598431924410714,False
R0_STANDARDIZED__KMEANS__K2,R1_PCA_85__GMM_DIAG__K4,-0.02840731637765979,False
R0_STANDARDIZED__KMEANS__K2,R1_PCA_85__GMM_DIAG__K2,-0.08066604995374653,False
R1_PCA_85__KMEANS__K5,R0_STANDARDIZED__GMM_DIAG__K2,0.16301040298285585,False
R1_PCA_85__KMEANS__K5,R1_PCA_85__HAC_WARD__K3,0.3630288964268408,False
R1_PCA_85__KMEANS__K5,R1_PCA_85__GMM_DIAG__K5,0.5697441024506026,False
R1_PCA_85__KMEANS__K5,R0_STANDARDIZED__GMM_DIAG__K6,0.420620230944676,False
R1_PCA_85__KMEANS__K5,R1_PCA_85__GMM_DIAG__K4,0.48018723150415404,False
R1_PCA_85__KMEANS__K5,R1_PCA_85__GMM_DIAG__K2,0.029333968783510068,False
R0_STANDARDIZED__GMM_DIAG__K2,R1_PCA_85__HAC_WARD__K3,0.39638032988318417,False
R0_STANDARDIZED__GMM_DIAG__K2,R1_PCA_85__GMM_DIAG__K5,0.24959537864962617,False
R0_STANDARDIZED__GMM_DIAG__K2,R0_STANDARDIZED__GMM_DIAG__K6,0.17959637375039916,False
R0_STANDARDIZED__GMM_DIAG__K2,R1_PCA_85__GMM_DIAG__K4,-0.04466416274846547,False
R0_STANDARDIZED__GMM_DIAG__K2,R1_PCA_85__GMM_DIAG__K2,-0.08209322952596827,False
R1_PCA_85__HAC_WARD__K3,R1_PCA_85__GMM_DIAG__K5,0.5132873943132018,False
R1_PCA_85__HAC_WARD__K3,R0_STANDARDIZED__GMM_DIAG__K6,0.42023528453960757,False
R1_PCA_85__HAC_WARD__K3,R1_PCA_85__GMM_DIAG__K4,0.07053865351188106,False
R1_PCA_85__HAC_WARD__K3,R1_PCA_85__GMM_DIAG__K2,0.09967020886771712,False
R1_PCA_85__GMM_DIAG__K5,R0_STANDARDIZED__GMM_DIAG__K6,0.3411919469922465,False
R1_PCA_85__GMM_DIAG__K5,R1_PCA_85__GMM_DIAG__K4,0.3193017578514971,False
R1_PCA_85__GMM_DIAG__K5,R1_PCA_85__GMM_DIAG__K2,0.10278151993026388,False
R0_STANDARDIZED__GMM_DIAG__K6,R1_PCA_85__GMM_DIAG__K4,0.20950810010218412,False
R0_STANDARDIZED__GMM_DIAG__K6,R1_PCA_85__GMM_DIAG__K2,0.07867216732226806,False
R1_PCA_85__GMM_DIAG__K4,R1_PCA_85__GMM_DIAG__K2,0.14658159617182773,False
