candidate_a,candidate_b,adjusted_rand_index,partition_equivalent_at_0_95
R1_PCA_85__HAC_WARD__K2,R0_STANDARDIZED__HAC_WARD__K2,1.0,True
R1_PCA_85__HAC_WARD__K2,R1_PCA_85__KMEANS__K2,0.8274964505442499,False
R1_PCA_85__HAC_WARD__K2,R0_STANDARDIZED__KMEANS__K2,0.8274964505442499,False
R1_PCA_85__HAC_WARD__K2,R1_PCA_85__KMEANS__K5,0.16759619748250412,False
R0_STANDARDIZED__HAC_WARD__K2,R1_PCA_85__KMEANS__K2,0.8274964505442499,False
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED__KMEANS__K2,0.8274964505442499,False
R0_STANDARDIZED__HAC_WARD__K2,R1_PCA_85__KMEANS__K5,0.16759619748250412,False
R1_PCA_85__KMEANS__K2,R0_STANDARDIZED__KMEANS__K2,1.0,True
R1_PCA_85__KMEANS__K2,R1_PCA_85__KMEANS__K5,0.1579872954282317,False
R0_STANDARDIZED__KMEANS__K2,R1_PCA_85__KMEANS__K5,0.1579872954282317,False
