institution_id,willingness_constraint_score,digital_usage_constraint_score,training_deficit_score,device_constraint,digital_tool_variety_constraint,internet_stability_constraint,staffing_constraint_score,time_constraint_score,administrative_disorganization_constraint,recording_system_constraint,system_change_resistance_constraint,admin_time_load_constraint,resource_constraint_score
INST_001,0.0,1.0,0.5,1.0,1.0,1.0,0.25,0.0,0.0,1.0,0.0,0.0,1.0
INST_002,0.25,0.0,0.75,0.0,0.4,0.75,0.75,0.75,0.5,0.0,0.75,1.0,0.75
INST_003,0.5,0.6666666666666666,0.75,0.6666666666666666,0.6,0.25,1.0,0.75,0.5,1.0,0.75,0.6666666666666666,0.5
INST_004,0.5,0.6666666666666666,0.75,0.3333333333333333,0.4,0.25,0.75,1.0,0.75,0.3333333333333333,0.75,1.0,0.5
INST_005,0.5,0.6666666666666666,0.5,0.3333333333333333,0.6,0.25,0.75,1.0,0.5,0.6666666666666666,0.5,1.0,0.5
INST_006,0.75,0.3333333333333333,1.0,0.3333333333333333,0.4,0.25,0.5,0.75,1.0,0.3333333333333333,1.0,1.0,0.25
INST_007,0.0,0.6666666666666666,0.75,0.3333333333333333,0.4,0.5,0.75,0.5,0.5,0.6666666666666666,0.75,0.3333333333333333,1.0
INST_008,0.0,0.0,1.0,0.0,0.4,0.0,0.25,0.25,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0
INST_009,0.5,0.0,0.0,0.0,0.2,0.5,0.25,0.5,0.5,0.6666666666666666,0.5,0.0,0.5
INST_010,0.25,0.0,0.75,0.0,0.6,0.25,0.5,0.75,0.25,0.3333333333333333,0.75,1.0,0.75
INST_011,0.75,0.0,1.0,0.0,0.2,0.0,0.5,0.5,1.0,0.0,1.0,0.6666666666666666,0.25
INST_012,1.0,0.0,1.0,0.3333333333333333,0.4,0.0,0.5,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,0.25
INST_013,0.25,0.0,0.25,0.3333333333333333,0.4,0.25,0.75,1.0,0.25,0.3333333333333333,0.25,1.0,0.5
