feature,cluster_1_mean,cluster_2_mean
admin_time_load_constraint,0.6715686274509802,0.41025641025641024
administrative_disorganization_constraint,0.5514705882352942,0.1346153846153846
device_constraint,0.18137254901960786,0.8205128205128204
digital_tool_variety_constraint,0.3676470588235294,0.8615384615384616
digital_usage_constraint_score,0.1323529411764706,0.717948717948718
internet_stability_constraint,0.1801470588235294,0.75
recording_system_constraint,0.3333333333333333,1.0
resource_constraint_score,0.35661764705882354,0.9615384615384616
staffing_constraint_score,0.5698529411764706,0.34615384615384615
system_change_resistance_constraint,0.6213235294117647,0.1346153846153846
time_constraint_score,0.625,0.28846153846153844
training_deficit_score,0.6544117647058824,0.40384615384615385
willingness_constraint_score,0.40441176470588236,0.038461538461538464
