cluster_id,indicator_direction,rank,feature,mean,cluster_mean_z_vs_sample
1,HIGHER_FRICTION_THAN_SAMPLE,1,system_change_resistance_constraint,0.6213235294117647,0.2571578139596352
1,HIGHER_FRICTION_THAN_SAMPLE,2,administrative_disorganization_constraint,0.5514705882352942,0.19491211431351188
1,HIGHER_FRICTION_THAN_SAMPLE,3,willingness_constraint_score,0.40441176470588236,0.18752057234476424
1,HIGHER_FRICTION_THAN_SAMPLE,4,time_constraint_score,0.625,0.17023217435896068
1,HIGHER_FRICTION_THAN_SAMPLE,5,staffing_constraint_score,0.5698529411764706,0.13816744171807097
1,LOWER_FRICTION_THAN_SAMPLE,1,device_constraint,0.18137254901960786,-0.3305072540877111
1,LOWER_FRICTION_THAN_SAMPLE,2,digital_tool_variety_constraint,0.3676470588235294,-0.33041429312880244
1,LOWER_FRICTION_THAN_SAMPLE,3,internet_stability_constraint,0.1801470588235294,-0.3222431176489215
1,LOWER_FRICTION_THAN_SAMPLE,4,digital_usage_constraint_score,0.1323529411764706,-0.3040506961559962
1,LOWER_FRICTION_THAN_SAMPLE,5,recording_system_constraint,0.3333333333333333,-0.29537826959282415
2,HIGHER_FRICTION_THAN_SAMPLE,1,device_constraint,0.8205128205128204,1.7288071752280285
2,HIGHER_FRICTION_THAN_SAMPLE,2,digital_tool_variety_constraint,0.8615384615384616,1.728320917904506
2,HIGHER_FRICTION_THAN_SAMPLE,3,internet_stability_constraint,0.75,1.6855793846251281
2,HIGHER_FRICTION_THAN_SAMPLE,4,digital_usage_constraint_score,0.717948717948718,1.5904190260467497
2,HIGHER_FRICTION_THAN_SAMPLE,5,recording_system_constraint,1.0,1.545055564024002
2,LOWER_FRICTION_THAN_SAMPLE,1,system_change_resistance_constraint,0.1346153846153846,-1.3451331807119375
2,LOWER_FRICTION_THAN_SAMPLE,2,administrative_disorganization_constraint,0.1346153846153846,-1.019540290255292
2,LOWER_FRICTION_THAN_SAMPLE,3,willingness_constraint_score,0.038461538461538464,-0.980876839957228
2,LOWER_FRICTION_THAN_SAMPLE,4,time_constraint_score,0.28846153846153844,-0.890445219723794
2,LOWER_FRICTION_THAN_SAMPLE,5,staffing_constraint_score,0.34615384615384615,-0.722722002832988
