rank,feature,cluster_1_n,cluster_2_n,cluster_1_mean,cluster_2_mean,mean_difference_cluster_2_minus_1,cluster_1_median,cluster_2_median,mann_whitney_u,mann_whitney_p,cliffs_delta_cluster_2_vs_1,absolute_cliffs_delta,hedges_g_cluster_2_vs_1,absolute_hedges_g,direction,mann_whitney_q_bh
1,digital_tool_variety_constraint,68,13,0.3676470588235294,0.8615384615384616,0.4938914027149322,0.4,0.8,869.0,1.0644222483384174e-08,0.9660633484162896,0.9660633484162896,3.0748099262212056,3.0748099262212056,Cluster 2 higher friction,6.918744614199713e-08
2,device_constraint,68,13,0.18137254901960786,0.8205128205128204,0.6391402714932125,0.0,0.6666666666666666,866.5,5.119707680036829e-09,0.9604072398190046,0.9604072398190046,3.076827872360326,3.076827872360326,Cluster 2 higher friction,6.655619984047878e-08
3,recording_system_constraint,68,13,0.3333333333333333,1.0,0.6666666666666667,0.3333333333333333,1.0,858.0,2.6925813814017538e-08,0.9411764705882353,0.9411764705882353,2.441664054698982,2.441664054698982,Cluster 2 higher friction,7.00071159164456e-08
4,internet_stability_constraint,68,13,0.1801470588235294,0.75,0.5698529411764706,0.25,0.75,857.0,1.8976429773052423e-08,0.9389140271493213,0.9389140271493213,2.905770787383332,2.905770787383332,Cluster 2 higher friction,7.00071159164456e-08
5,resource_constraint_score,68,13,0.35661764705882354,0.9615384615384616,0.6049208144796381,0.25,1.0,836.5,1.924894450353681e-07,0.8925339366515838,0.8925339366515838,2.105842803584389,2.105842803584389,Cluster 2 higher friction,3.8983949034536964e-07
6,system_change_resistance_constraint,68,13,0.6213235294117647,0.1346153846153846,-0.48670814479638014,0.5,0.25,49.0,2.0991357172442981e-07,-0.8891402714932126,0.8891402714932126,-1.937930572903289,1.937930572903289,Cluster 1 higher friction,3.8983949034536964e-07
7,digital_usage_constraint_score,68,13,0.1323529411764706,0.717948717948718,0.5855957767722474,0.0,0.6666666666666666,828.5,2.3507140171637385e-08,0.8744343891402715,0.8744343891402715,2.5786724343713696,2.5786724343713696,Cluster 2 higher friction,7.00071159164456e-08
8,willingness_constraint_score,68,13,0.40441176470588236,0.038461538461538464,-0.3659502262443439,0.25,0.0,121.5,2.0268134908176965e-05,-0.7251131221719457,0.7251131221719457,-1.2651533706412406,1.2651533706412406,Cluster 1 higher friction,3.293571922578757e-05
9,administrative_disorganization_constraint,68,13,0.5514705882352942,0.1346153846153846,-0.4168552036199096,0.5,0.0,132.0,4.416009472073479e-05,-0.7013574660633484,0.7013574660633484,-1.3270999363185094,1.3270999363185094,Cluster 1 higher friction,6.378680348550582e-05
10,time_constraint_score,68,13,0.625,0.28846153846153844,-0.33653846153846156,0.75,0.25,174.0,0.0004126317875308876,-0.6063348416289592,0.6063348416289592,-1.1264023852116738,1.1264023852116738,Cluster 1 higher friction,0.0005364213237901539
11,staffing_constraint_score,68,13,0.5698529411764706,0.34615384615384615,-0.22369909502262442,0.5,0.25,225.0,0.0037359594312730902,-0.49095022624434387,0.49095022624434387,-0.8875781873740183,0.8875781873740183,Cluster 1 higher friction,0.004415224782413652
12,admin_time_load_constraint,68,13,0.6715686274509802,0.41025641025641024,-0.26131221719457,0.6666666666666666,0.3333333333333333,233.5,0.005070416552650182,-0.47171945701357465,0.47171945701357465,-0.8290751838200676,0.8290751838200676,Cluster 1 higher friction,0.00549295126537103
13,training_deficit_score,68,13,0.6544117647058824,0.40384615384615385,-0.2505656108597285,0.75,0.5,241.0,0.007674367557171253,-0.45475113122171945,0.45475113122171945,-0.8605256919144136,0.8605256919144136,Cluster 1 higher friction,0.007674367557171253
