rank,feature,permutation_importance_mean,permutation_importance_std,positive_importance_fraction
1,recording_system_constraint,0.030306776556776577,0.07634945274383313,0.22
2,device_constraint,0.017643772893772905,0.06135402307717759,0.16
3,internet_stability_constraint,0.009058608058608062,0.033524577646505294,0.24
4,system_change_resistance_constraint,0.007886446886446886,0.02286345933591531,0.28
5,willingness_constraint_score,0.0023324175824175814,0.007267037005201814,0.16
6,administrative_disorganization_constraint,0.0023049450549450547,0.005320197819764275,0.18
7,time_constraint_score,0.002173076923076924,0.0058355743112840286,0.14
8,staffing_constraint_score,0.0008159340659340655,0.0037395942851815227,0.06
9,training_deficit_score,0.0007087912087912085,0.004268255016078042,0.08
10,admin_time_load_constraint,0.00019230769230769217,0.001359820733051052,0.02
11,resource_constraint_score,-3.0219780219779487e-05,0.00596244721025175,0.16
12,digital_tool_variety_constraint,-9.70695970695928e-05,0.024463707930605687,0.14
13,digital_usage_constraint_score,-0.001178571428571428,0.006086309152546789,0.02
