split,accuracy,balanced_accuracy,macro_f1,test_size,test_cluster_1_n,test_cluster_2_n
1,1.0,1.0,1.0,17,14,3
2,1.0,1.0,1.0,16,13,3
3,1.0,1.0,1.0,16,13,3
4,1.0,1.0,1.0,16,14,2
5,0.875,0.9285714285714286,0.7948717948717949,16,14,2
6,1.0,1.0,1.0,17,14,3
7,0.9375,0.9615384615384616,0.9085714285714286,16,13,3
8,1.0,1.0,1.0,16,13,3
9,1.0,1.0,1.0,16,14,2
10,1.0,1.0,1.0,16,14,2
11,0.9411764705882353,0.9642857142857143,0.91005291005291,17,14,3
12,1.0,1.0,1.0,16,13,3
13,1.0,1.0,1.0,16,13,3
14,1.0,1.0,1.0,16,14,2
15,1.0,1.0,1.0,16,14,2
16,1.0,1.0,1.0,17,14,3
17,1.0,1.0,1.0,16,13,3
18,1.0,1.0,1.0,16,13,3
19,1.0,1.0,1.0,16,14,2
20,0.9375,0.9642857142857143,0.8814814814814815,16,14,2
21,0.9411764705882353,0.9642857142857143,0.91005291005291,17,14,3
22,0.9375,0.9615384615384616,0.9085714285714286,16,13,3
23,1.0,1.0,1.0,16,13,3
24,1.0,1.0,1.0,16,14,2
25,1.0,1.0,1.0,16,14,2
26,1.0,1.0,1.0,17,14,3
27,1.0,1.0,1.0,16,13,3
28,1.0,1.0,1.0,16,13,3
29,0.9375,0.9642857142857143,0.8814814814814815,16,14,2
30,0.9375,0.9642857142857143,0.8814814814814815,16,14,2
31,1.0,1.0,1.0,17,14,3
32,1.0,1.0,1.0,16,13,3
33,0.9375,0.9615384615384616,0.9085714285714286,16,13,3
34,1.0,1.0,1.0,16,14,2
35,1.0,1.0,1.0,16,14,2
36,1.0,1.0,1.0,17,14,3
37,1.0,1.0,1.0,16,13,3
38,1.0,1.0,1.0,16,13,3
39,0.9375,0.9642857142857143,0.8814814814814815,16,14,2
40,1.0,1.0,1.0,16,14,2
41,1.0,1.0,1.0,17,14,3
42,1.0,1.0,1.0,16,13,3
43,1.0,1.0,1.0,16,13,3
44,1.0,1.0,1.0,16,14,2
45,1.0,1.0,1.0,16,14,2
46,1.0,1.0,1.0,17,14,3
47,0.9375,0.9615384615384616,0.9085714285714286,16,13,3
48,1.0,1.0,1.0,16,13,3
49,1.0,1.0,1.0,16,14,2
50,1.0,1.0,1.0,16,14,2
