component,rank_by_absolute_loading,feature,loading,absolute_loading
PC1,1,digital_tool_variety_constraint,0.8724054486415428,0.8724054486415428
PC1,2,recording_system_constraint,0.8370672287104659,0.8370672287104659
PC1,3,device_constraint,0.82925556648039,0.82925556648039
PC1,4,internet_stability_constraint,0.8159441915390326,0.8159441915390326
PC1,5,digital_usage_constraint_score,0.7847205364305219,0.7847205364305219
PC2,1,time_constraint_score,0.6826229995462176,0.6826229995462176
PC2,2,admin_time_load_constraint,0.6433163938307639,0.6433163938307639
PC2,3,staffing_constraint_score,0.6272352596992352,0.6272352596992352
PC2,4,administrative_disorganization_constraint,0.5389911509302995,0.5389911509302995
PC2,5,willingness_constraint_score,0.4735344835585521,0.4735344835585521
PC3,1,training_deficit_score,0.5788836096644828,0.5788836096644828
PC3,2,time_constraint_score,-0.5379659926928959,0.5379659926928959
PC3,3,admin_time_load_constraint,-0.4726042229556547,0.4726042229556547
PC3,4,staffing_constraint_score,-0.46666429719107216,0.46666429719107216
PC3,5,willingness_constraint_score,0.43222737506065384,0.43222737506065384
PC4,1,staffing_constraint_score,0.422972132697188,0.422972132697188
PC4,2,training_deficit_score,0.33164293622533386,0.33164293622533386
PC4,3,admin_time_load_constraint,-0.289389498017041,0.289389498017041
PC4,4,internet_stability_constraint,-0.2151194894243398,0.2151194894243398
PC4,5,willingness_constraint_score,-0.18453731073001622,0.18453731073001622
PC5,1,administrative_disorganization_constraint,0.45357743994004446,0.45357743994004446
PC5,2,training_deficit_score,-0.3942500845995185,0.3942500845995185
PC5,3,resource_constraint_score,-0.21202633916272584,0.21202633916272584
PC5,4,admin_time_load_constraint,-0.18536812403574038,0.18536812403574038
PC5,5,internet_stability_constraint,-0.13469895534833068,0.13469895534833068
