candidate_id,iteration,reference_cluster,matched_resample_cluster,jaccard
R0_STANDARDIZED__GMM_DIAG__K2,1,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,1,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,2,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,2,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,3,0,0,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,3,1,1,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,4,0,0,0.9454545454545454
R0_STANDARDIZED__GMM_DIAG__K2,4,1,1,0.7692307692307693
R0_STANDARDIZED__GMM_DIAG__K2,5,0,1,0.5686274509803921
R0_STANDARDIZED__GMM_DIAG__K2,5,1,0,0.3888888888888889
R0_STANDARDIZED__GMM_DIAG__K2,6,0,0,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,6,1,1,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,7,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,7,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,8,0,0,0.5
R0_STANDARDIZED__GMM_DIAG__K2,8,1,1,0.24324324324324326
R0_STANDARDIZED__GMM_DIAG__K2,9,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,9,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,10,0,0,0.9818181818181818
R0_STANDARDIZED__GMM_DIAG__K2,10,1,1,0.9090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,11,0,0,0.6981132075471698
R0_STANDARDIZED__GMM_DIAG__K2,11,1,1,0.42857142857142855
R0_STANDARDIZED__GMM_DIAG__K2,12,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,12,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,13,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,13,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,14,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,14,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,15,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,15,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,16,0,0,0.7678571428571429
R0_STANDARDIZED__GMM_DIAG__K2,16,1,1,0.4090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,17,0,0,0.6909090909090909
R0_STANDARDIZED__GMM_DIAG__K2,17,1,1,0.37037037037037035
R0_STANDARDIZED__GMM_DIAG__K2,18,0,0,0.9818181818181818
R0_STANDARDIZED__GMM_DIAG__K2,18,1,1,0.9090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,19,0,1,0.6
R0_STANDARDIZED__GMM_DIAG__K2,19,1,0,0.0
R0_STANDARDIZED__GMM_DIAG__K2,20,0,1,0.6153846153846154
R0_STANDARDIZED__GMM_DIAG__K2,20,1,0,0.0
R0_STANDARDIZED__GMM_DIAG__K2,21,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,21,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,22,0,0,0.7090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,22,1,1,0.38461538461538464
R0_STANDARDIZED__GMM_DIAG__K2,23,0,0,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,23,1,1,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,24,0,0,0.6730769230769231
R0_STANDARDIZED__GMM_DIAG__K2,24,1,1,0.43333333333333335
R0_STANDARDIZED__GMM_DIAG__K2,25,0,1,0.6226415094339622
R0_STANDARDIZED__GMM_DIAG__K2,25,1,0,0.375
R0_STANDARDIZED__GMM_DIAG__K2,26,0,0,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,26,1,1,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,27,0,1,0.6785714285714286
R0_STANDARDIZED__GMM_DIAG__K2,27,1,0,0.3333333333333333
R0_STANDARDIZED__GMM_DIAG__K2,28,0,1,0.46153846153846156
R0_STANDARDIZED__GMM_DIAG__K2,28,1,0,0.3170731707317073
R0_STANDARDIZED__GMM_DIAG__K2,29,0,0,0.37037037037037035
R0_STANDARDIZED__GMM_DIAG__K2,29,1,1,0.24444444444444444
R0_STANDARDIZED__GMM_DIAG__K2,30,0,0,0.9814814814814815
R0_STANDARDIZED__GMM_DIAG__K2,30,1,1,0.9166666666666666
R0_STANDARDIZED__GMM_DIAG__K2,31,0,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,31,1,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,32,0,0,0.5283018867924528
R0_STANDARDIZED__GMM_DIAG__K2,32,1,1,0.32432432432432434
R0_STANDARDIZED__GMM_DIAG__K2,33,0,1,0.9629629629629629
R0_STANDARDIZED__GMM_DIAG__K2,33,1,0,0.8461538461538461
R0_STANDARDIZED__GMM_DIAG__K2,34,0,0,1.0
R0_STANDARDIZED__GMM_DIAG__K2,34,1,1,1.0
R0_STANDARDIZED__GMM_DIAG__K2,35,0,1,0.5555555555555556
R0_STANDARDIZED__GMM_DIAG__K2,35,1,0,0.3142857142857143
R0_STANDARDIZED__GMM_DIAG__K2,36,0,1,0.5263157894736842
R0_STANDARDIZED__GMM_DIAG__K2,36,1,0,0.22857142857142856
R0_STANDARDIZED__GMM_DIAG__K2,37,0,0,0.9818181818181818
R0_STANDARDIZED__GMM_DIAG__K2,37,1,1,0.9090909090909091
R0_STANDARDIZED__GMM_DIAG__K2,38,0,1,0.6909090909090909
R0_STANDARDIZED__GMM_DIAG__K2,38,1,0,0.37037037037037035
R0_STANDARDIZED__GMM_DIAG__K2,39,0,0,0.6981132075471698
R0_STANDARDIZED__GMM_DIAG__K2,39,1,1,0.42857142857142855
R0_STANDARDIZED__GMM_DIAG__K2,40,0,1,0.7368421052631579
R0_STANDARDIZED__GMM_DIAG__K2,40,1,0,0.34782608695652173
