candidate_id,institution_a,institution_b,co_sample_count,co_cluster_count,consensus
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_001,833,833,1.0
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_002,669,67,0.10014947683109118
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_003,657,324,0.4931506849315068
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_004,652,321,0.49233128834355827
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_005,653,303,0.46401225114854516
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_006,660,314,0.47575757575757577
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_007,674,318,0.47181008902077154
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_008,670,1,0.0014925373134328358
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_009,656,15,0.022865853658536585
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_010,668,69,0.10329341317365269
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_011,657,23,0.0350076103500761
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_012,683,87,0.1273792093704246
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_013,672,94,0.13988095238095238
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_014,657,24,0.0365296803652968
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_015,671,0,0.0
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_016,675,17,0.025185185185185185
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_017,693,0,0.0
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_018,673,1,0.0014858841010401188
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_019,676,318,0.47041420118343197
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_020,664,35,0.05271084337349398
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_021,668,67,0.10029940119760479
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_022,635,635,1.0
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_023,681,530,0.7782672540381792
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_024,645,89,0.13798449612403102
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_025,667,331,0.4962518740629685
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_026,675,16,0.023703703703703703
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_027,677,677,1.0
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_028,653,23,0.03522205206738132
R0_STANDARDIZED__GMM_DIAG__K2,INST_001,INST_029,659,311,0.47192716236722304
