candidate_id,representation,algorithm,k_requested,n_samples,n_dimensions,observed_clusters,silhouette,davies_bouldin,calinski_harabasz,minimum_cluster_size,maximum_cluster_size,bic,aic,inertia,converged,eligible_min_cluster_size,shortlist_reasons
R0_STANDARDIZED__GMM_DIAG__K2,R0_STANDARDIZED,GMM_DIAG,2,81,13,2,0.3495289691928451,0.9325475305329852,37.40994185971451,14,67,2592.7481137001387,2465.8423085024992,,True,True,BEST_CALINSKI_HARABASZ;BEST_DAVIES_BOULDIN;BEST_SILHOUETTE
R0_STANDARDIZED__GMM_DIAG__K6,R0_STANDARDIZED,GMM_DIAG,6,81,13,6,0.2192115758159911,1.5598025760993923,22.81551768287774,6,23,815.5018785072396,429.9955646049768,,True,True,BEST_BIC_WITHIN_REPRESENTATION
R0_STANDARDIZED__HAC_WARD__K2,R0_STANDARDIZED,HAC_WARD,2,81,13,2,0.3602740036312941,0.8888983077423682,37.34296216978151,13,68,,,,True,True,BEST_CALINSKI_HARABASZ;BEST_DAVIES_BOULDIN;BEST_SILHOUETTE
R0_STANDARDIZED__KMEANS__K2,R0_STANDARDIZED,KMEANS,2,81,13,2,0.3351919060650141,1.0227041459560755,37.44861198934348,16,65,,,714.3666084024485,True,True,BEST_CALINSKI_HARABASZ;BEST_DAVIES_BOULDIN;BEST_SILHOUETTE
R1_PCA_85__GMM_DIAG__K2,R1_PCA_85,GMM_DIAG,2,81,5,2,0.229290618039759,0.8263977638215929,10.990037222836174,6,75,1329.0588158834887,1278.7753836353677,,True,True,BEST_DAVIES_BOULDIN
R1_PCA_85__GMM_DIAG__K4,R1_PCA_85,GMM_DIAG,4,81,5,4,0.237141860575631,1.159581764233071,22.203671602158813,6,39,1324.0859966390544,1221.1246829881395,,True,True,BEST_BIC_WITHIN_REPRESENTATION
R1_PCA_85__GMM_DIAG__K5,R1_PCA_85,GMM_DIAG,5,81,5,5,0.3382887227151773,0.9302826081555982,41.74177071338974,7,39,1346.241876729941,1216.9416223776293,,True,True,BEST_CALINSKI_HARABASZ;BEST_SILHOUETTE
R1_PCA_85__HAC_WARD__K2,R1_PCA_85,HAC_WARD,2,81,5,2,0.4108366444914675,0.7760107265875373,46.174845454458506,13,68,,,,True,True,BEST_DAVIES_BOULDIN;BEST_SILHOUETTE
R1_PCA_85__HAC_WARD__K3,R1_PCA_85,HAC_WARD,3,81,5,3,0.3360816510079463,1.178930747935072,46.295653974702375,13,46,,,,True,True,BEST_CALINSKI_HARABASZ
R1_PCA_85__KMEANS__K2,R1_PCA_85,KMEANS,2,81,5,2,0.3822801393450685,0.8966314430369156,46.34151317488878,16,65,,,576.2224435885959,True,True,BEST_DAVIES_BOULDIN;BEST_SILHOUETTE
R1_PCA_85__KMEANS__K5,R1_PCA_85,KMEANS,5,81,5,5,0.3506743190835679,1.098480621174487,50.17402844683382,13,20,,,251.1126231236437,True,True,BEST_CALINSKI_HARABASZ
