stability_rank,candidate_id,successful_iterations,ari_mean,ari_median,ari_std,ari_p025,ari_p975,mean_matched_jaccard_mean,mean_matched_jaccard_median,minimum_resample_cluster_size_median,minimum_resample_cluster_size_min,pca_components_median,pca_components_min,pca_components_max,clusterwise_jaccard_min_mean,representation,algorithm,k_requested,full_data_silhouette,full_data_davies_bouldin,full_data_calinski_harabasz,full_data_minimum_cluster_size,shortlist_reasons
1,R1_PCA_85__HAC_WARD__K2,1000,0.991763934077196,1.0,0.0524691923664444,0.9053210792596783,1.0,0.9946587831845046,1.0,11.0,7,5.0,4,6,0.9915738094173516,R1_PCA_85,HAC_WARD,2,0.4108366444914675,0.7760107265875373,46.174845454458506,13,BEST_DAVIES_BOULDIN;BEST_SILHOUETTE
2,R0_STANDARDIZED__HAC_WARD__K2,1000,0.9958781252196182,1.0,0.031088275559317948,0.9261606184048209,1.0,0.997246051355711,1.0,11.0,6,13.0,13,13,0.9955431085254615,R0_STANDARDIZED,HAC_WARD,2,0.3602740036312941,0.8888983077423682,37.34296216978151,13,BEST_CALINSKI_HARABASZ;BEST_DAVIES_BOULDIN;BEST_SILHOUETTE
3,R1_PCA_85__KMEANS__K2,1000,0.8635464095616938,0.8620480557871598,0.08869134393214771,0.7247304362918447,1.0,0.9119743726061308,0.9097035040431267,14.0,7,5.0,4,6,0.861948744706446,R1_PCA_85,KMEANS,2,0.3822801393450685,0.8966314430369156,46.34151317488878,16,BEST_DAVIES_BOULDIN;BEST_SILHOUETTE
4,R0_STANDARDIZED__KMEANS__K2,1000,0.8502623790789715,0.8574499377757665,0.09525719970291842,0.6963456365257269,1.0,0.9039078610627092,0.9045584045584045,14.0,7,13.0,13,13,0.8499088971185333,R0_STANDARDIZED,KMEANS,2,0.3351919060650141,1.0227041459560755,37.44861198934348,16,BEST_CALINSKI_HARABASZ;BEST_DAVIES_BOULDIN;BEST_SILHOUETTE
5,R1_PCA_85__KMEANS__K5,1000,0.8577862667942068,0.8395227629886033,0.11474845004880134,0.6537501367602805,1.0,0.9121159268136405,0.903720462543992,10.0,6,5.0,4,6,0.8001298713875676,R1_PCA_85,KMEANS,5,0.3506743190835679,1.098480621174487,50.17402844683382,13,BEST_CALINSKI_HARABASZ
6,R0_STANDARDIZED__GMM_DIAG__K2,1000,0.5668939372980857,0.7858376511226253,0.4130097381430892,-0.10638297872340426,1.0,0.7387741429064504,0.8573426573426574,14.0,8,13.0,13,13,0.6569069905971205,R0_STANDARDIZED,GMM_DIAG,2,0.3495289691928451,0.9325475305329852,37.40994185971451,14,BEST_CALINSKI_HARABASZ;BEST_DAVIES_BOULDIN;BEST_SILHOUETTE
7,R1_PCA_85__HAC_WARD__K3,1000,0.7494783043713289,0.7559382110646351,0.16680331802832477,0.36441689964494994,1.0,0.8589938326503591,0.8613103778096605,10.0,4,5.0,4,6,0.7139869105295439,R1_PCA_85,HAC_WARD,3,0.3360816510079463,1.178930747935072,46.295653974702375,13,BEST_CALINSKI_HARABASZ
8,R1_PCA_85__GMM_DIAG__K5,1000,0.6261699726093869,0.614792146106939,0.1777339603411083,0.2848463253299103,0.9513111676494622,0.6455226220302288,0.61870337995338,5.0,1,5.0,4,6,0.33093675175819864,R1_PCA_85,GMM_DIAG,5,0.3382887227151773,0.9302826081555982,41.74177071338974,7,BEST_CALINSKI_HARABASZ;BEST_SILHOUETTE
9,R0_STANDARDIZED__GMM_DIAG__K6,1000,0.4593661347633628,0.4591171344889996,0.08617496213262295,0.2964381237040796,0.6372472710632989,0.5371386046069107,0.5458759600560604,6.0,1,13.0,13,13,0.2654245566257275,R0_STANDARDIZED,GMM_DIAG,6,0.2192115758159911,1.5598025760993923,22.81551768287774,6,BEST_BIC_WITHIN_REPRESENTATION
10,R1_PCA_85__GMM_DIAG__K4,1000,0.33473445957221726,0.3256018551368713,0.1758963571245556,0.07008052972895351,0.7265169444245609,0.5448671366102706,0.5442574786324785,7.0,1,5.0,4,6,0.4191877182067738,R1_PCA_85,GMM_DIAG,4,0.237141860575631,1.159581764233071,22.203671602158813,6,BEST_BIC_WITHIN_REPRESENTATION
11,R1_PCA_85__GMM_DIAG__K2,1000,0.11785549497219522,-0.043839409321642826,0.35855689639502475,-0.09370804618276202,1.0,0.4451412663709353,0.36923076923076925,13.0,4,5.0,4,6,0.18941292715572203,R1_PCA_85,GMM_DIAG,2,0.229290618039759,0.8263977638215929,10.990037222836174,6,BEST_DAVIES_BOULDIN
