Indicator,Organizational-Capacity mean,Infrastructure-Bottleneck mean,Difference C2-C1,Cliff's delta,Hedges' g,BH-adjusted q
Digital-tool variety,0.3676470588235294,0.8615384615384616,0.4938914027149322,0.9660633484162896,3.0748099262212056,6.918744614199713e-08
Device availability,0.1813725490196078,0.8205128205128204,0.6391402714932125,0.9604072398190046,3.076827872360326,6.655619984047879e-08
Recording system,0.3333333333333333,1.0,0.6666666666666667,0.9411764705882352,2.441664054698982,7.00071159164456e-08
Internet stability,0.1801470588235294,0.75,0.5698529411764706,0.9389140271493212,2.905770787383332,7.00071159164456e-08
Resource constraints,0.3566176470588235,0.9615384615384616,0.6049208144796381,0.8925339366515838,2.105842803584389,3.8983949034536964e-07
Resistance to system change,0.6213235294117647,0.1346153846153846,-0.4867081447963801,-0.8891402714932126,-1.937930572903289,3.8983949034536964e-07
Digital usage,0.1323529411764706,0.717948717948718,0.5855957767722474,0.8744343891402715,2.5786724343713696,7.00071159164456e-08
Willingness to adopt,0.4044117647058823,0.0384615384615384,-0.3659502262443439,-0.7251131221719457,-1.2651533706412406,3.293571922578757e-05
Administrative disorganization,0.5514705882352942,0.1346153846153846,-0.4168552036199096,-0.7013574660633484,-1.3270999363185094,6.378680348550582e-05
Time constraints,0.625,0.2884615384615384,-0.3365384615384615,-0.6063348416289592,-1.1264023852116738,0.0005364213237901
Staffing constraints,0.5698529411764706,0.3461538461538461,-0.2236990950226244,-0.4909502262443438,-0.8875781873740183,0.0044152247824136
Administrative time load,0.6715686274509802,0.4102564102564102,-0.26131221719457,-0.4717194570135746,-0.8290751838200676,0.005492951265371
Training deficit,0.6544117647058824,0.4038461538461538,-0.2505656108597285,-0.4547511312217194,-0.8605256919144136,0.0076743675571712
